GeneSymbol	GeneId	PrimaryPubMed	EvidenceCode	IsNegative	Comments	Score	Strength	ScoreType	ExternalDatabase	DatabaseLink	Phenotypes
ERAP1		23291587	TAS		Disease/Trait: Behcet's disease; Initial Sample Size: 435 Turkish cases with uveitis, 780 Turkish cases without uveitis, 1,278 Turkish controls; Replication Sample Size: 355 Turkish cases with uveitis, 483 Turkish cases without uveitis, 601 Turkish controls, up to 612 Japanese ancestry cases, up to 740 Japanese ancestry controls; Strongest SNP-Risk Allele: rs17482078-T; SNPs: rs17482078; Context: missense; Risk Allele Frequency: 0.02; p-Value: 4E-8; OR or beta:    3.08; Platform [SNPs passing QC]: Illumina [779,465] (imputed)	0.00000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	Behcet's disease
ERAP1		23291587	TAS		Disease/Trait: Behcet's disease; Initial Sample Size: 435 Turkish cases with uveitis, 780 Turkish cases without uveitis, 1,278 Turkish controls; Replication Sample Size: 355 Turkish cases with uveitis, 483 Turkish cases without uveitis, 601 Turkish controls, up to 612 Japanese ancestry cases, up to 740 Japanese ancestry controls; Strongest SNP-Risk Allele: rs17482078-T; SNPs: rs17482078; Context: missense; Risk Allele Frequency: 0.02; p-Value: 5E-11; OR or beta:    4.56; Platform [SNPs passing QC]: Illumina [779,465] (imputed)	0.00000000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	Behcet's disease
STAT4		23291587	TAS		Disease/Trait: Behcet's disease; Initial Sample Size: 435 Turkish cases with uveitis, 780 Turkish cases without uveitis, 1,278 Turkish controls; Replication Sample Size: 355 Turkish cases with uveitis, 483 Turkish cases without uveitis, 601 Turkish controls, up to 612 Japanese ancestry cases, up to 740 Japanese ancestry controls; Strongest SNP-Risk Allele: rs7574070-A; SNPs: rs7574070; Context: intron; Risk Allele Frequency: 0.421; p-Value: 1E-9; OR or beta:    1.27; Platform [SNPs passing QC]: Illumina [779,465] (imputed)	0.000000001	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	Behcet's disease
TNFAIP3		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs2230926-G; SNPs: rs2230926; Context: missense; Risk Allele Frequency: 0.02; p-Value: 1E-13; OR or beta:    2.71; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.0000000000001	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
WDFY4		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs877819-A; SNPs: rs877819; Context: intron; Risk Allele Frequency: 0.18; p-Value: 8E-9; OR or beta:    1.46; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000000008	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
SLC15A4		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs1385374-A; SNPs: rs1385374; Context: intron; Risk Allele Frequency: 0.17; p-Value: 8E-8; OR or beta:    1.41; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.00000008	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
ELF1		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs7329174-G; SNPs: rs7329174; Context: intron; Risk Allele Frequency: 0.21; p-Value: 6E-6; OR or beta:    1.45; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000006	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
RASGRP3		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs13385731-A; SNPs: rs13385731; Context: intron; Risk Allele Frequency: 0.83; p-Value: 4E-6; OR or beta:    1.39; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
TNIP1		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs10036748-T; SNPs: rs10036748; Context: intron; Risk Allele Frequency: 0.74; p-Value: 3E-6; OR or beta:    1.25; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000003	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
UBE2L3		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs5754217-T; SNPs: rs5754217; Context: intron; Risk Allele Frequency: 0.56; p-Value: 5E-6; OR or beta:    1.12; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
UHRF1BP1		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs3734266-G; SNPs: rs3734266; Context: intron; Risk Allele Frequency: 0.13; p-Value: 1E-12; OR or beta:    1.56; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000000000001	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
CLEC16A		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs12599402-A; SNPs: rs12599402; Context: intron; Risk Allele Frequency: 0.56; p-Value: 5E-7; OR or beta:    1.28; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.0000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
ITGAM		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs9937837-G; SNPs: rs9937837; Context: intron; Risk Allele Frequency: 0.02; p-Value: 7E-6; OR or beta:    1.86; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000007	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
CD80		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs6804441-A; SNPs: rs6804441; Context: intron; Risk Allele Frequency: 0.61; p-Value: 3E-16; OR or beta:    1.27; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
CREBL2		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs12822507-A; SNPs: rs12822507; Context: ; Risk Allele Frequency: 0.57; p-Value: 2E-8; OR or beta:    1.16; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.00000002	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
GPR19		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs10845606-C; SNPs: rs10845606; Context: ; Risk Allele Frequency: 0.71; p-Value: 4E-17; OR or beta:    1.27; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
CDKN1B		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs34330-C; SNPs: rs34330; Context: UTR-5; Risk Allele Frequency: 0.52; p-Value: 5E-12; OR or beta:    1.19; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000000000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
SLC29A3		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs2252996-A; SNPs: rs2252996; Context: missense; Risk Allele Frequency: 0.68; p-Value: 3E-6; OR or beta:    1.22; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000003	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
SEZ6L2		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs12917712-T; SNPs: rs12917712; Context: UTR-3; Risk Allele Frequency: 0.29; p-Value: 7E-6; OR or beta:    1.07; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000007	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
DDA1		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs2303745-A; SNPs: rs2303745; Context: nearGene-5; Risk Allele Frequency: 0.39; p-Value: 1E-6; OR or beta:    1.07; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000001	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
BANK1		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs4522865-A; SNPs: rs4522865; Context: intron; Risk Allele Frequency: 0.54; p-Value: 5E-6; OR or beta:    1.35; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0.000005	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
STAT4		23273568	TAS		Disease/Trait: Systemic lupus erythematosus; Initial Sample Size: 1,656 Han Chinese cases, 3,394 Han Chinese controls; Replication Sample Size: 3,256 Han Chinese cases, 5,667 Han Chinese controls, 453 Thai ancestry cases, 963 Thai ancestry controls; Strongest SNP-Risk Allele: rs7574865-T; SNPs: rs7574865; Context: intron; Risk Allele Frequency: 0.34; p-Value: 1E-21; OR or beta:    1.63; Platform [SNPs passing QC]: Illumina [2,100,739] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	systemic lupus erythematosus
HSPA12A		23263487	TAS		Disease/Trait: Colorectal cancer; Initial Sample Size: 2,098 East Asian ancestry cases, 5,749 East Asian ancestry controls; Replication Sample Size: 5,358 East Asian ancestry cases, 5,922 East Asian ancestry controls, 26,060 European ancestry individuals; Strongest SNP-Risk Allele: rs1665650-T; SNPs: rs1665650; Context: intron; Risk Allele Frequency: 0.315; p-Value: 9E-7; OR or beta:    1.13; Platform [SNPs passing QC]: Illumina & Affymetrix (1,636,380) imputed	0.0000009	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	colorectal cancer
ABCG2		23263486	TAS		Disease/Trait: Gout; Initial Sample Size: 2,115 European ancestry cases, 67,259 European ancestry controls; Replication Sample Size: 1,036 European ancestry cases; Strongest SNP-Risk Allele: rs1481012-A; SNPs: rs1481012; Context: intron; Risk Allele Frequency: 0.8903; p-Value: 2E-32; OR or beta:     .55; Platform [SNPs passing QC]: Affymetrix, Illumina [2,538,056] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	gout
SLC2A9		23263486	TAS		Disease/Trait: Gout; Initial Sample Size: 2,115 European ancestry cases, 67,259 European ancestry controls; Replication Sample Size: 1,036 European ancestry cases; Strongest SNP-Risk Allele: rs4475146-A; SNPs: rs4475146; Context: intron; Risk Allele Frequency: 0.2237; p-Value: 4E-26; OR or beta:     .47; Platform [SNPs passing QC]: Affymetrix, Illumina [2,538,056] (imputed)	0	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	gout
TBX3		23266556	TAS		Disease/Trait: Colorectal cancer; Initial Sample Size: 12,696 European ancestry colorectal tumor cases, and 15,113 European ancestry controls; Replication Sample Size: 958 European ancestry colorectal tumor cases, up to 2,098 East Asian ancestry colorectal tumor cases, 909 European ancestry controls, up to 5,749 East Asian ancestry controls; Strongest SNP-Risk Allele: rs59336-T; SNPs: rs59336; Context: intron; Risk Allele Frequency: 0.48; p-Value: 4E-7; OR or beta:    1.09; Platform [SNPs passing QC]: Illumina & Affymetrix [2,708,280] imputed	0.0000004	0.4	P-value	GWAS_Catalog	http://www.genome.gov/gwastudies/index.cfm	colorectal cancer
